,name,out1,pre1,out2,pre2,out3,pre3
60,['20070N2_two_1.0'],0.12543912,0.46062946,0.9837124,1.4710721,1.3976104,1.8873205
61,['20051N2'],4.0157413,4.576217,1.4985995,1.633573,1.1356245,1.2065097
62,['20370N3_two_1.0'],1.4993823,1.0908995,4.3020096,5.7564497,5.074761,5.133507
63,['16410C2_one_0.5'],1.593323,1.9812746,0.6260353,0.70709217,0.45674828,0.45725513
64,['14060N2_two_1.0'],0.8394181,0.1240356,2.5838764,2.560195,3.1932845,3.0720465
65,['15171N2_one_0.5'],2.0794396,3.1727498,1.1970851,1.8236043,0.7953844,1.3399713
66,['21600N2_one_0.5'],5.505674,5.004164,2.1107283,2.0581167,1.6101267,1.5158422
67,['21013N2_two_0.5'],7.181872,5.8234525,4.362479,3.9621093,3.179698,2.963828
68,['15184N2_one_1.0'],3.9075854,4.1826224,1.7252301,1.5784016,1.2628436,1.1288502
69,['21352N2'],10.287332,6.2957478,4.090754,2.024213,2.9149048,1.3406148
70,['20167N2_two_1.0'],0.7222036,0.55497193,2.1623323,2.3351395,2.2670486,2.6593826
71,['15110N2_two_0.5'],4.9483604,4.4531097,3.4178584,3.3300714,2.4377818,2.6579635
72,['16057N2_one_0.5'],4.279044,4.111809,1.5538967,1.5185486,1.0718472,1.0855452
73,['18100N2_one_1.0'],4.792637,4.699997,2.5096965,2.5198069,1.8265636,1.8049321
74,['13190N2'],1.6271658,2.084928,0.55954754,0.5252023,0.40059033,0.29788136
75,['20472N2_one_0.5'],5.231702,5.0722475,2.5374107,2.5803118,1.8095528,1.9028252
76,['16340N2_two_1.0'],0.8057679,1.0135555,2.802407,2.87604,3.3938937,3.1042752
77,['19242N3'],0.84969354,1.2482184,0.5589235,0.70230055,0.39163163,0.51342225
78,['14010N2_one_0.5'],2.7655883,2.9724407,1.521079,1.5034571,1.0264751,1.0937511
79,['20472N2_two_1.0'],1.3766189,1.1851999,3.3914428,2.511399,3.5384307,3.289949
80,['15163N2'],3.7504117,3.8448496,1.3152508,1.4366405,0.982157,1.1147591
81,['20370N3_two_0.5'],3.7480507,4.448238,6.4544578,5.523283,4.9872174,4.4872584
82,['20580N3_two_0.5'],1.9318024,2.3729155,2.67285,2.7071342,2.3513799,2.3301654
83,['16031N2'],4.443652,5.053957,1.626137,1.8427213,1.226944,1.3292664
84,['17050N2_two_1.0'],1.944429,2.4767902,3.2324493,3.2251816,2.9509726,3.1135533
85,['18083N2_two_1.0'],1.2243247,2.0913734,3.1241596,3.3306432,2.92218,2.9122903
86,['21424N2_one_0.5'],3.2277868,2.8906965,1.6800343,1.4510479,1.1151748,1.0439163
87,['20180N2_two_1.0'],1.6293286,2.1848607,3.510221,3.4014525,3.0983617,3.2339914
88,['20430N3_two_1.0'],16.49502,15.706075,11.712559,12.443141,8.629864,9.527287
89,['12030N2'],3.2284749,3.5318468,1.2609951,1.2512168,0.92218363,0.8818785
90,['21630N2'],4.2741227,3.7257738,1.4498504,1.4707388,1.011301,1.1135933
91,['20320N2_two_1.0'],1.3383038,2.3506372,3.3403413,3.1258924,3.401456,3.3658724
92,['16171N2_two_0.5'],1.7476232,2.4138284,2.8045866,2.7412622,2.2715743,2.4380078
93,['19351N2_one_1.0'],1.7549313,1.9498038,1.298144,1.161871,0.9617068,0.8967042
94,['13110N2_two_1.0'],1.0055789,1.7169132,3.1465442,3.658824,3.3388221,3.5089924
95,['21081N2_one_0.5'],3.4835105,4.2293406,1.5348662,1.8385477,1.143084,1.2870561
96,['15071N2'],4.8022785,4.517664,1.7830008,1.5787805,1.353646,1.16405
97,['21220N2_one_1.0'],2.6451197,2.5986679,1.4083467,1.6368325,1.1568242,1.2712066
98,['21040N3_one_1.0'],0.72292393,0.8967116,0.5824937,0.52120924,0.38096482,0.3966956
99,['15140N2_one_1.0'],3.9372916,3.7750802,2.0677142,1.9954011,1.6593093,1.4612508
100,['21140N2_one_1.0'],1.0335482,1.9841573,1.2117934,1.5668322,1.0412889,1.3579321
101,['16057N2_one_1.0'],4.1994367,4.1044445,1.5875727,1.573557,1.0762691,1.1273912
102,['19550N2_one_1.0'],2.9277737,3.4935029,1.3726869,1.6428521,1.071451,1.2415459
103,['15180N2'],3.7638488,3.8852596,1.35755,1.3268889,1.0326968,0.9630933
104,['19366N2'],5.3286185,4.9987116,2.064119,1.721317,1.5847467,1.2763888
105,['20564N3'],5.442533,2.7568545,2.131784,1.1632649,1.5765505,0.86214864
106,['21170N2_two_0.5'],6.0281153,6.043324,4.2360806,4.397516,3.1562295,3.3551295
107,['21240C2_one_1.0'],0.7872883,1.0121711,0.58548665,0.6033609,0.46218038,0.43476748
108,['21531N2'],2.1107483,1.798629,1.1217004,1.0600423,0.7085073,0.8946055
109,['14030N2'],5.097822,5.155065,2.0258834,2.0914373,1.5629838,1.5820724
110,['19510N2_two_1.0'],2.8785834,2.3472047,4.464524,4.2673554,4.1983414,4.076153
111,['19450N2_two_1.0'],2.7701347,2.8143973,3.815818,3.9887052,3.4334102,3.5275836
112,['21091N3'],0.5894337,1.3206824,0.5317328,0.41789818,0.36616573,0.2030046
113,['19181N2_two_0.5'],1.8494478,2.3333619,3.4408398,3.0015054,3.162404,2.7990522
114,['19212N2_one_0.5'],4.848562,4.690732,2.0864162,2.0795324,1.4651123,1.5127746
115,['20660N2_two_1.0'],7.367404,7.3841696,6.4908657,5.3783245,4.4758444,4.1386213
116,['18032N2'],3.5339663,3.1000843,1.472895,1.2004524,1.0904033,0.8321724
117,['15210N2'],3.4454067,3.3023608,1.3443398,1.291329,0.99426067,0.9917934
118,['17050N2_one_0.5'],4.150065,3.9086065,1.7874122,1.74885,1.3002023,1.2857364
119,['20000N2_two_1.0'],0.5225477,0.6700003,1.7820067,1.9974246,2.275766,2.609833
120,['16052N2_two_1.0'],4.755728,4.2115574,2.1020956,1.9064729,1.4899172,1.4245061
121,['14020N2'],3.798811,3.924574,1.5301791,1.3420969,1.1378405,0.8797834
122,['20211N2_one_1.0'],2.5738964,2.420899,1.912807,1.7852433,1.4179322,1.4663591
123,['19070N2'],4.1520824,3.749156,1.6063933,1.4288284,1.2103299,1.0564691
124,['19520N2_two_0.5'],4.328981,3.3572845,3.544292,2.780199,2.623312,2.2553873
125,['20640N2_one_1.0'],1.8723111,1.9605039,1.4336911,1.2412316,1.1093848,0.9448788
126,['13130N2_two_1.0'],5.638267,4.0999603,4.530546,4.1835356,3.763737,3.4188652
127,['19023N3'],0.07213761,-0.13953042,0.122391686,-0.044362783,0.070066206,-0.083516836
128,['2016aN2_one_1.0'],3.4743857,3.4677763,1.6964295,1.7311746,1.3047055,1.2520207
129,['19482N2_one_1.0'],2.3393624,2.6647348,1.0829821,1.0838666,0.75284857,0.8014829
130,['19510N2_two_0.5'],6.1463323,3.5536575,5.3273573,4.079412,4.2205644,3.4608269
131,['19051N2'],5.544244,5.7919607,2.0897555,1.7369666,1.6081749,1.2605739
132,['13161N2_two_1.0'],3.1424358,3.4925432,5.3308873,4.3006973,4.066061,3.7009125
133,['19050N2_two_1.0'],2.7599437,3.8390393,4.1427593,4.3676558,3.6572297,3.765992
134,['18021N3_one_0.5'],4.6402054,5.5361843,3.0253859,3.4307318,2.1178274,2.5564618
135,['21111N3'],3.3122678,3.1511738,1.4276286,1.293338,1.0133626,0.991668
136,['17163N3_one_1.0'],6.36152,6.721367,3.2927423,3.5713503,2.3044858,2.6064868
137,['16480N2'],3.6453547,3.7378464,1.2783105,1.3802749,0.9519917,1.0752026
138,['20230N2'],2.997656,3.2442107,1.0701005,1.087942,0.7747644,0.75987816
139,['20571N3_two_0.5'],0.798755,0.5424237,2.2026954,2.5401592,2.4411817,2.7553422
140,['16230N2_one_1.0'],0.7381486,1.3387567,1.0039034,1.1834514,0.79413915,1.0012617
141,['19402N3_one_0.5'],3.981969,6.1452947,2.657412,3.1923916,1.8470786,2.3221936
142,['18022N3_two_1.0'],0.43468547,0.13927412,1.3975654,1.5865573,1.8232594,2.4582486
143,['21691N2_one_0.5'],2.644501,2.5496068,1.1786189,1.3261961,0.8529566,1.0007381
144,['20360N2'],4.6885715,4.744912,1.7389886,1.9086936,1.3434308,1.3891853
145,['20362N2'],2.2577276,2.7426293,0.82137173,0.92234933,0.58217025,0.58768415
146,['19483N2'],1.2293797,1.5847857,0.6724563,0.68238974,0.46642452,0.5636132
147,['14091N2_one_1.0'],2.4562585,2.810512,1.7728112,1.6048566,1.3154988,1.2433797
148,['19253N3_one_0.5'],1.4202833,1.6701435,0.9112433,0.935055,0.5839814,0.6732421
149,['21320N2'],3.2693973,3.9791043,1.2744178,1.6278992,0.95090187,1.226222
150,['20051N2_two_0.5'],4.476035,4.445865,3.0035105,2.8909318,2.2139335,2.2611895
151,['15090N2'],6.7090135,6.8707094,2.8627932,2.7422118,2.1239102,2.1089628
152,['16031N2_one_1.0'],3.609667,3.8037963,2.037644,1.7092879,1.4591633,1.1892589
153,['21425N2_one_0.5'],3.3204634,3.0212474,1.4855474,1.551151,0.99074024,1.1442449
154,['19231N2_one_0.5'],3.7805445,3.6721132,1.918944,1.7428994,1.2617056,1.2649673
155,['16460N2_one_0.5'],4.564769,4.359591,1.8908585,2.0842438,1.40203,1.547826
156,['21314N2_two_1.0'],2.504091,3.292617,4.394481,4.2164707,4.2133584,3.7091525
157,['21140N2'],2.4329185,3.011987,0.87742937,1.1425052,0.63266516,0.89109755
158,['21540N3_one_1.0'],24.559818,25.447514,11.710634,11.442897,8.937198,8.54916
159,['13100N2_two_1.0'],1.5930641,2.0256395,4.7793,3.6315255,5.030984,3.6248322
160,['21271N3_one_0.5'],1.4245732,1.8333014,1.1191385,1.1242925,0.770928,0.8225554
161,['05000N2'],1.0722178,2.5691867,0.80804,1.436962,0.54905325,1.168165
162,['19404N3_one_1.0'],0.5570096,0.95299745,0.7092863,0.6424227,0.58243775,0.42042708
163,['20181N2_two_1.0'],1.1217346,1.9474947,2.7784622,2.7779431,2.5729318,2.7155209
164,['20152N2_two_1.0'],1.223228,1.329967,2.3364563,2.2800002,2.0665379,2.182706
165,['20270C2'],1.6207623,1.7487081,0.7361509,0.5069339,0.5117529,0.45259118
166,['12061N2_two_1.0'],0.8136454,1.1107534,2.2068863,2.2792706,2.230771,2.1245708
167,['21251N2_two_1.0'],2.049186,2.6728265,3.8348048,3.4645042,3.6845315,3.2167087
168,['18040N3_one_0.5'],1.8373729,1.9618378,1.0843633,1.0289742,0.66740155,0.7424418
169,['16310N2_two_1.0'],0.87859315,1.0147287,2.673126,3.4562888,3.0859206,3.3675716
170,['21661N2_one_0.5'],2.353141,2.718906,1.2212087,1.1835984,0.8389135,0.8189627
171,['20153N2_two_0.5'],2.8129556,2.693562,2.4947903,2.6500516,1.9949226,2.2198122
172,['20530N2_one_1.0'],2.9201338,3.2436743,1.903402,1.8871676,1.3594176,1.4326597
173,['20631N2_two_1.0'],1.1127052,2.0096824,2.747118,3.0482388,2.864623,2.870815
174,['20620N2_one_1.0'],2.3210278,2.0446212,0.85163605,1.1233395,0.5675304,0.84257805
175,['16160N2_two_1.0'],3.8337624,3.6978145,1.3243965,1.332717,0.9025767,0.958037
176,['20400N2'],2.0362437,2.79614,1.2810209,1.1780884,0.9027315,0.88512516
177,['21260N2'],4.1582584,4.0436077,1.5365124,1.6851468,1.1559985,1.2317988
178,['18100N2_two_1.0'],2.6539905,2.9403155,4.4530663,4.230258,4.2581477,3.8798919
179,['16400N2_two_0.5'],3.6360166,4.0418944,4.5856876,4.0593104,3.650487,3.2528024
180,['19071N2_two_1.0'],0.9233346,0.96882486,2.635545,2.8038957,3.1106565,2.8814614
181,['19281N2_one_0.5'],3.7085862,3.6542573,1.6030635,1.5272533,1.1863614,1.1056834
182,['21014N2'],5.6072683,5.657209,2.1348588,1.9052565,1.665127,1.4928088
183,['14030N2_one_1.0'],4.9360185,4.0089893,2.2099712,1.8732772,1.6275651,1.4021118
184,['15130N2_two_0.5'],4.9663806,4.463568,3.617479,3.3699725,2.4701188,2.6561782
185,['20090N2'],3.3476007,3.0959291,1.2553784,1.1284395,0.92394924,0.832273
186,['16272N2'],5.623724,4.844104,2.153826,1.9451364,1.6527773,1.4692525
187,['17170N2'],2.633772,3.4962158,0.9235023,1.2766963,0.6668719,0.91800857
188,['20361N2'],3.552472,3.8397508,1.293182,1.350778,0.9625958,0.8130063
189,['20590N2_one_0.5'],3.0253284,3.553151,1.5647683,1.7300565,1.1418573,1.2690016
190,['19362N2_two_0.5'],6.585643,5.4863524,4.2092857,4.1224275,3.1560874,3.1551104
191,['21170N2_one_0.5'],5.3710656,5.344771,2.2058928,2.2459383,1.623661,1.6651951
192,['19410N2_one_0.5'],3.3256433,3.6172855,1.8417821,1.7342265,1.3102466,1.2474234
193,['21251N2'],4.649465,4.719309,1.6585538,1.6629683,1.2361592,1.2104315
194,['19462N2_one_1.0'],2.8145804,3.3186252,1.7143481,1.544021,1.2383615,1.170661
195,['13122N2'],5.1848097,4.4395547,1.9711096,1.441267,1.4886806,1.0535295
196,['20166N2_two_1.0'],2.1452818,2.822301,3.314754,3.5257218,2.938274,3.173977
197,['17131N2_one_0.5'],3.015489,3.5346956,1.3495238,1.4580725,0.90963507,1.074334
198,['15252N2'],4.271757,3.9499383,1.5710984,1.4858024,1.1840492,1.1077168
199,['16060N2_one_1.0'],1.9324067,2.1111236,2.0832,1.6332439,1.4730945,1.287573
200,['16390N2'],6.2028437,6.607359,2.7128348,2.670524,2.0153527,2.0070348
201,['20350N2_one_1.0'],1.00969,1.6176829,1.0874151,1.2781991,0.88614744,1.0980148
202,['19211C2_one_0.5'],4.876642,5.2345552,2.103262,2.2277503,1.467072,1.6023852
203,['19180N2_one_1.0'],3.4394512,3.8438997,2.0614731,2.1359904,1.612288,1.59729
204,['19571N2_two_1.0'],0.9795332,1.7523738,2.6344762,2.6477094,2.753673,2.6613169
205,['17040N2_one_1.0'],1.4798683,2.3925824,1.2364961,1.356087,0.97581863,1.0192308
206,['20167N2'],3.0014195,3.4561174,1.0960684,1.3384123,0.82683617,0.9233146
207,['21051N2_two_0.5'],5.041381,5.10926,4.968179,4.366161,3.5858426,3.3780215
208,['20163N2_two_1.0'],2.1030009,2.2433813,3.3920305,3.1854558,3.0631332,2.9485455
209,['22041N2_one_0.5'],1.566894,1.249241,0.81661224,0.64746594,0.554476,0.46873212
210,['16140N2_two_1.0'],0.51348466,0.45459247,1.854294,2.2037854,2.140281,2.88279
211,['21510N3_one_0.5'],1.9157922,1.9250562,1.0636629,0.98521733,0.6741873,0.6917329
212,['20510N2'],4.8263073,4.113283,1.8489895,1.7194715,1.3927066,1.2751411
213,['14090N2_one_1.0'],2.6098154,3.158258,1.7751427,2.0071416,1.3577986,1.588022
214,['16460N2_one_1.0'],3.863483,4.102177,1.7059654,2.1857646,1.3339181,1.6261064
215,['16430N2'],4.747627,4.738488,2.2672524,2.1656165,1.6331081,1.659721
216,['21033N2_one_1.0'],0.61325455,1.3708729,1.0369753,1.3766747,0.8753431,1.3427792
217,['12010N2'],3.3532476,3.6545815,1.258694,1.466114,0.93625677,1.1313121
218,['19480N2_one_1.0'],3.5010126,3.2923179,1.7590299,1.488946,1.2457871,1.1083125
219,['15242N2'],2.557953,3.2406287,0.8511058,1.0988764,0.63896227,0.8008759
220,['15240N2_two_0.5'],5.3586726,4.242951,2.8856947,2.7435672,2.0302272,2.091097
221,['13120N2_one_0.5'],1.7519456,2.39448,1.4606577,1.4214926,1.0613967,1.1012763
222,['17000N2_two_1.0'],4.645358,4.4706135,5.0361967,5.44403,3.6983929,4.339304
223,['19521N2'],4.2088857,3.5594997,1.523482,1.3194659,1.143378,0.98487747
224,['16081N2_one_0.5'],3.0127819,3.21508,1.7557867,1.7699782,1.2057451,1.3512298
225,['19370N2_one_0.5'],1.9756306,2.3919218,1.1955547,0.9851601,0.79539603,0.66482735
226,['19470N2_two_1.0'],0.4321159,0.56527305,1.5600775,2.369809,1.9368286,2.8131695
227,['21381N2_one_0.5'],2.587654,2.7857902,1.393991,1.3280823,0.94387233,0.8847761
228,['15010N2_two_1.0'],1.5324771,2.261692,3.271322,3.2256193,2.9274561,2.947341
229,['17190N2'],3.6810477,3.8915236,1.3003186,1.371453,0.96495354,1.0242287
230,['15020N2_one_1.0'],7.0016785,7.030774,3.2189515,3.2787447,2.166605,2.2421408
231,['21020N2_two_0.5'],0.9485599,1.7619255,2.7302308,3.3098502,2.9172504,2.9706903
232,['20203N2_one_1.0'],2.4219184,2.408146,1.7820563,1.936471,1.3654531,1.6431866
233,['17240N3_one_1.0'],3.5831354,3.7409883,1.8213661,1.7771893,1.4182872,1.2877549
234,['19181N2'],4.1986494,4.1692476,1.538237,1.3068774,1.1363529,1.004272
235,['21633N2'],2.3702502,1.6905818,0.89708835,0.7154565,0.57792985,0.5500603
236,['19560N2_two_1.0'],1.8525747,2.352302,3.1244001,3.272469,2.773605,3.0085447
237,['20450N2_two_0.5'],0.7210052,2.039453,2.1096663,3.444338,2.6710117,3.1433372
238,['16330N2_two_1.0'],0.3657504,0.4421978,1.8086165,2.1156676,2.2927923,2.8561656
239,['18070N2_one_0.5'],1.9440305,1.9917924,0.8902319,0.8855524,0.60880893,0.6419096
240,['21300C3_two_0.5'],2.4853523,3.0407205,4.049355,3.308951,3.0557454,2.767106
241,['15131N2_two_0.5'],6.6249847,6.7099285,3.6819363,3.7625299,2.571265,2.7686787
242,['15120N2'],6.4425116,5.5952005,2.5252273,1.9345044,1.9633349,1.4452164
243,['19560N2_two_0.5'],3.890875,3.322211,3.0743415,2.8235693,2.3102522,2.2726302
244,['15021N2'],7.5826154,8.332885,3.2003145,3.165316,2.4377038,2.386073
245,['19451N2_two_1.0'],2.1601772,2.3919857,3.9109159,3.345154,3.7096112,3.4365904
246,['17161N3_one_0.5'],7.59087,7.836258,3.24049,3.6781378,2.2174337,2.6743686
247,['19041N2_two_1.0'],1.7588161,2.3071108,3.285803,3.4407682,2.948277,3.2366571
248,['16090N2_two_0.5'],1.8050356,3.054621,3.7314358,3.7059383,3.3804002,3.2362852
249,['21012N2_two_0.5'],7.3371663,6.924938,4.5244613,4.38997,3.2930508,3.2276382
250,['13110N2_one_1.0'],3.8362687,4.6895776,1.8818619,2.4564934,1.2079303,1.6496183
251,['21013N2_two_1.0'],4.6258636,5.235178,4.773712,4.776829,3.911343,3.8513188
252,['19020N3'],8.442814,7.7843513,3.0746107,3.0857728,2.3351705,2.2697234
253,['18031N2_one_0.5'],2.1961565,1.7149103,1.5023451,1.132645,1.0233345,0.84101367
254,['16272N2_one_1.0'],3.3950462,2.9887614,2.202703,1.8527081,1.6362096,1.4275274
255,['20400N2_one_1.0'],0.6809246,1.239082,1.1172627,0.8443339,0.81000465,0.70444083
256,['20610N2'],4.774739,4.054443,1.7557226,1.6474903,1.3295965,1.3385351
257,['20610N2_two_0.5'],2.2946649,2.68214,3.7643034,3.4375787,3.444913,3.0853496
258,['20173N2_one_0.5'],3.3264625,3.110558,1.4275755,1.2735486,0.97566175,0.86794126
259,['12061N2_one_1.0'],2.4877796,2.5627756,1.2232976,1.1124549,0.83707404,0.8325852
260,['20171N2_one_0.5'],0.39526933,0.90474546,0.38166183,0.741007,0.22537187,0.4872167
261,['17040N2'],2.6047843,3.6416926,0.97520185,1.3960867,0.7061371,0.99378777
262,['21601N2'],7.096925,5.960269,2.4970288,1.9691341,1.8047982,1.4410458
263,['13160N2_two_0.5'],4.2795897,4.1726437,5.704449,4.7573233,4.173339,3.8226998
264,['21014N2_two_1.0'],3.9735346,4.5571218,4.70226,5.024606,3.9520702,4.050724
265,['20392N2_one_0.5'],4.033095,3.7939963,1.9324238,1.8702638,1.4012744,1.388935
266,['16040N2_one_1.0'],1.0482577,1.4334958,0.9313074,0.75082123,0.6288584,0.6075499
267,['19431N2'],2.422401,2.1646383,1.0553671,0.7815542,0.7584278,0.5674927
268,['21080N2'],4.4669003,4.583928,1.680406,1.6798979,1.2721549,1.1860696
269,['19190N2_one_0.5'],3.7125611,3.2036977,1.6400489,1.4623451,1.0721143,1.0354205
270,['21032N2_one_1.0'],1.679364,1.8598258,1.1913946,1.7677925,0.94443583,1.5495387
271,['18050N2_two_0.5'],4.544113,3.4535198,3.8623426,3.2574883,2.9825976,2.712149
272,['19420N3_one_1.0'],9.215257,11.178118,4.028307,4.870798,2.7641778,3.5184011
273,['18100N2_two_0.5'],5.688286,5.0099745,4.9370112,4.6634846,3.8197308,3.7244556
274,['21354N2'],8.66216,11.019958,3.361769,4.052738,2.3953404,2.6255188
275,['16113N3'],11.299922,10.396763,4.3189716,3.8541036,3.3739145,2.9210413
276,['20091N2'],3.2935183,3.5035186,1.2215576,1.3239231,0.89795905,0.9838358
277,['21570N3'],3.280593,3.4145293,1.1104378,1.2574923,0.7432657,0.91043663
278,['19542N2'],2.9442832,3.6762915,1.2377247,1.4436803,0.91512275,1.0450435
279,['19571N2'],3.6337378,3.8261251,1.373501,1.5462477,1.0210984,1.1553138
280,['20162N2_one_1.0'],2.2612422,2.1935608,0.93199885,1.0834708,0.62047386,0.8171015
281,['19451N2'],5.4944534,5.707816,2.1553645,1.9141908,1.6626254,1.3925627
282,['13130N2_one_0.5'],5.6091065,4.968466,2.3379178,1.9249303,1.700229,1.3838146
283,['20163N2_one_0.5'],4.0497355,3.9807615,1.7809571,1.6684818,1.2633581,1.178067
284,['18030N2'],2.258283,2.497146,1.1621559,1.023253,0.821497,0.6798372
285,['19283N2_one_0.5'],3.3185933,2.8788643,1.5559689,1.431296,1.1213076,1.0686643
286,['21041N3_one_0.5'],1.718483,1.4494592,0.90441203,0.7218747,0.58205384,0.51548004
287,['21460N2'],3.656365,3.6006563,1.249269,1.2873988,0.83103865,0.92646575
288,['18030N2_one_1.0'],0.7822408,1.3008684,1.045213,1.2274972,0.92883843,1.028114
289,['13040N3'],2.7079906,2.4507892,0.8293948,0.87192774,0.5890847,0.6245868
290,['17181N2'],3.9015033,4.331077,1.4063442,1.3649107,1.0483825,0.9111502
291,['19260N2_one_1.0'],1.1013118,1.0302101,1.1762016,1.374968,0.9083478,1.1937144
