name,111K,231K,296K
08011N2,1.993575311,0.638483104,0.452337469
08012N2,2.282612243,0.946292514,0.670364247
08013N2,2.848297982,1.114860368,0.808186513
08020N2,1.290630712,0.580072751,0.411152745
08030N2,3.907717077,1.501121841,1.130731389
09000N3,4.175197954,1.745544123,1.244782519
09000N3_one_0.5,2.798109404,2.044196249,1.331709822
09000N3_one_1.0,1.636773316,1.896872655,1.349862272
09000N3_two_0.5,0.626859929,1.868964085,2.274587609
09000N3_two_1.0,0.117745332,0.633205156,0.886226886
09010N2,2.181561392,0.706255241,0.497588256
10000N2,1.875537534,0.673817823,0.48041557
10001N2,0.876192594,0.984592611,0.687234925
10010N2,2.6711069,0.93826852,0.686591367
10010N2_one_0.5,2.70215658,1.168397007,0.781595791
10010N2_one_1.0,2.360509097,1.18334202,0.860868574
10010N2_two_0.5,1.643287843,2.21177089,1.717380896
10020N2,3.055933485,1.105313586,0.809156209
10020N2_one_0.5,2.357060368,1.191418413,0.842498997
10020N2_one_1.0,1.286501497,0.86353134,0.978640266
11000N2,3.408035286,1.324169891,0.985565456
11001N2,2.681522146,1.402714491,0.970699985
11002N2,5.508139026,2.065850183,1.611820117
11002N2_one_0.5,5.68401566,2.251707572,1.651822719
11002N2_one_1.0,4.964146356,2.106611527,1.66765939
11002N2_two_0.5,6.977404084,3.814211944,2.787841691
11002N2_two_1.0,5.221775236,4.292938048,3.364150702
11003N2,5.277958105,2.199323907,1.598949981
11003N2_one_0.5,5.131273129,2.505699341,1.605867823
11003N2_one_1.0,4.413658027,2.439090883,1.612540694
11003N2_two_0.5,3.884742445,4.007832598,2.846135924
11003N2_two_1.0,1.976914336,4.024173277,3.502186165
11010N2,2.319571134,0.827207923,0.605570969
11020N2,3.61332519,1.245623612,0.914583354
11020N2_one_0.5,2.982558716,1.628373393,1.070264928
11020N2_one_1.0,1.902142251,1.459452875,1.189944864
11020N2_two_0.5,1.136937748,2.981320282,2.669082584
11020N2_two_1.0,0.382695286,1.676052854,1.971807146
11030N2,6.193610224,2.571372669,1.946441284
11030N2_one_0.5,6.012145489,2.809645817,1.897230059
11030N2_one_1.0,4.978487069,2.699186673,1.895173252
11030N2_two_0.5,3.994969076,5.34624842,4.109448647
11030N2_two_1.0,1.444794232,4.080559314,4.41967446
11031N2,8.463199425,3.488814487,2.662280501
11031N2_one_0.5,8.897936793,3.590396037,2.491887944
11031N2_one_1.0,8.1869815,3.376547951,2.334461382
11031N2_two_0.5,9.995422232,5.367745313,3.642242949
11031N2_two_1.0,7.457566157,6.428158703,4.543745407
11040N2,6.19170911,2.474051662,1.916336519
11040N2_one_0.5,6.203639623,2.699067067,1.914677814
11040N2_one_1.0,5.423389435,2.637867461,1.945128137
11040N2_two_0.5,7.201257665,4.980438414,3.678745092
11040N2_two_1.0,4.527347254,5.050306797,4.523000271
12000N2,2.891528754,1.034971572,0.76014925
12000N2_one_0.5,2.441246193,1.28889534,0.939278912
12000N2_one_1.0,1.399986917,1.447051034,1.04843594
12000N2_two_0.5,0.964301473,2.346382703,2.233598363
12001N2,2.225353079,0.868692827,0.627143921
12010N2,3.353247668,1.25869408,0.936256744
12010N2_one_0.5,3.220478986,1.499974424,1.056144072
12010N2_one_1.0,2.765008883,1.396635486,1.081164285
12010N2_two_0.5,1.899484845,2.911238235,2.342860812
12010N2_two_1.0,0.770970247,2.253909769,2.499408109
12011N2,3.149908404,1.177500388,0.877863297
12011N2_one_0.5,3.112939153,1.319995815,0.964832683
12011N2_one_1.0,2.605182206,1.337342035,1.03303588
12011N2_two_0.5,1.852823234,2.722722757,2.179548344
12011N2_two_1.0,0.75441633,2.156083203,2.385798313
12012N2,3.150820929,1.179434113,0.879227515
12012N2_one_0.5,3.078022622,1.375742823,0.98121464
12012N2_one_1.0,2.639635309,1.282844437,1.007373152
12012N2_two_0.5,1.878619683,2.725360568,2.168263922
12012N2_two_1.0,0.708680305,2.153675181,2.381002432
12020N2,2.608955489,0.961093143,0.702185682
12022N2,3.948655344,1.449895448,1.080368656
12022N2_one_0.5,4.085184967,1.704621867,1.176497115
12022N2_one_1.0,3.535783864,1.755508116,1.255365847
12022N2_two_0.5,3.701163307,3.447896847,2.603540145
12022N2_two_1.0,1.729346081,3.29462692,3.212809763
12023N2,3.47232539,1.269927158,0.954099554
12023N2_one_0.5,3.605952429,1.505587106,1.046862895
12023N2_one_1.0,3.188835115,1.596497266,1.133127824
12023N2_two_0.5,3.76253383,2.81873591,2.074953493
12023N2_two_1.0,2.284337224,3.058892679,2.78800922
12024N2,4.913264944,1.794133961,1.372721888
12024N2_one_0.5,4.88180834,2.036955102,1.448126535
12024N2_one_1.0,4.182655658,1.983240945,1.53218483
12024N2_two_0.5,4.840992215,4.043533162,3.157145352
12024N2_two_1.0,2.193680549,3.855956391,3.680436208
12030N2,3.228474858,1.260995152,0.922183614
12040N2,2.906486132,1.110540794,0.815696773
12040N2_one_0.5,2.806841286,1.396129013,0.928568515
12040N2_one_1.0,2.142327167,1.512961204,1.070132096
12040N2_two_0.5,1.703185795,2.575787799,2.023895842
12050N2,1.707938789,0.674526654,0.474606255
12051N2,0.70687817,0.838376253,0.581731717
12060N2,2.711661245,0.914887577,0.68160186
12060N2_one_0.5,2.828484517,1.142976905,0.759953371
12060N2_one_1.0,2.502040273,1.207875735,0.837598979
12060N2_two_0.5,1.949904193,2.154582277,1.654799462
12060N2_two_1.0,0.773677396,2.213539278,2.240833935
12061N2,2.706303871,0.912329743,0.677033132
12061N2_one_0.5,2.824587774,1.145980188,0.765757745
12061N2_one_1.0,2.487779548,1.223297585,0.837074029
12061N2_two_0.5,1.853452003,2.332032686,1.695984735
12061N2_two_1.0,0.81364541,2.206886374,2.230771175
12062N2,2.72796395,0.915947416,0.679798511
12062N2_one_0.5,2.842805245,1.155741801,0.762626246
12062N2_one_1.0,2.512669423,1.216505059,0.842861995
12062N2_two_0.5,1.862223818,2.336266144,1.699340374
12062N2_two_1.0,0.840264445,2.221764518,2.242734442
13000N2,0.575373357,0.318963317,0.225352246
13010N2,3.361804644,1.207962364,0.915033886
13010N2_one_0.5,3.657607881,1.388281012,0.995942115
13010N2_one_1.0,3.339499425,1.372312271,1.047525068
13010N2_two_0.5,4.028022734,2.432057384,1.674999533
13010N2_two_1.0,2.901501442,2.880027402,2.335405485
13011N2,3.851635031,1.4556035,1.112166369
13012N2,4.361549283,1.643863249,1.268673585
13012N2_one_0.5,4.471888674,1.897452052,1.359183992
13012N2_one_1.0,3.920645745,1.87648041,1.425046998
13012N2_two_0.5,5.293630838,3.390871874,2.56303881
13012N2_two_1.0,3.51975009,3.644790344,3.120385192
13020N2,9.443173959,3.719967459,2.810856389
13020N2_one_0.5,10.25278014,3.836852815,2.685864639
13020N2_one_1.0,9.625586743,3.724484621,2.564182846
13020N2_two_0.5,11.77121907,5.604878051,3.763147237
13020N2_two_1.0,10.3741933,6.958912271,4.809495414
13040N3,2.707990725,0.829394788,0.589084703
13040N3_one_0.5,1.426568035,1.117563192,0.777785648
13040N3_one_1.0,0.736129554,0.934060217,0.767910427
13050N2,3.456078638,1.303962462,0.970850688
13051N2,2.887867376,1.03219225,0.76482207
13051N2_one_0.5,2.092429471,1.476312943,0.989324184
13051N2_one_1.0,1.226315472,1.626351311,1.12516924
13051N2_two_0.5,0.929573141,2.354531967,2.223337732
13060N2,3.218745571,1.124094938,0.818349699
13060N2_one_0.5,2.676533233,1.345945037,0.967559299
13060N2_one_1.0,2.093471972,1.236038841,0.995529415
13060N2_two_0.5,0.806901775,2.155243236,2.222298644
13070N2,3.119247565,1.128206186,0.839562898
13071N2,3.111133814,1.1408748,0.854678024
13072N2,3.404172655,1.221585834,0.916995253
13073N2,2.924162497,1.069783605,0.79344155
13074N2,3.436515478,1.241539629,0.923796978
13075N2,2.396110208,0.844611951,0.621271527
13076N2,1.953954566,0.690624941,0.498209674
13077N2,1.962427869,0.766764631,0.552815248
13078N2,1.994359432,0.791053986,0.561180784
13080N2,2.877323077,0.985079777,0.733899159
13090N2,3.863566717,1.468159089,1.098351716
13100N2,7.559054527,2.98053737,2.239734654
13100N2_one_0.5,7.061232311,2.993146945,2.026947272
13100N2_one_1.0,5.82836018,2.787635037,1.892855156
13100N2_two_0.5,4.229058921,6.140208498,4.615692266
13100N2_two_1.0,1.593064068,4.779300074,5.030983987
13101N2,8.366208112,3.008561508,2.212319469
13101N2_one_0.5,7.837037038,3.156805296,2.115394154
13101N2_one_1.0,6.050457369,3.156344932,2.089176158
13101N2_two_0.5,3.123059498,5.778710812,4.716508763
13101N2_two_1.0,1.316920933,3.628184238,4.249903758
13110N2,4.406696232,1.993097828,1.456758851
13110N2_one_0.5,4.321592858,2.058564229,1.316170115
13110N2_one_1.0,3.836268707,1.881861905,1.2079303
13110N2_two_0.5,2.08561707,3.869804373,2.920337098
13110N2_two_1.0,1.005578894,3.14654412,3.338822025
13120N2,3.160438054,1.141136388,0.830103325
13120N2_one_0.5,1.751945581,1.46065776,1.061396665
13120N2_one_1.0,0.906878287,1.231237155,1.11980757
13121N2,4.466729042,1.643685246,1.227994025
13121N2_one_0.5,3.339727794,1.986274982,1.444306395
13121N2_one_1.0,2.33863593,1.855831856,1.489456725
13121N2_two_0.5,0.895556978,2.656577512,3.043895539
13122N2,5.184809859,1.971109579,1.488680637
13122N2_one_0.5,4.134121593,2.216184999,1.55686961
13122N2_one_1.0,2.817509868,2.169461857,1.696560102
13122N2_two_0.5,1.65507859,3.645878446,3.741787109
13122N2_two_1.0,0.254069519,1.582341257,2.043080125
13123N2,3.552541879,1.340244022,1.000889882
13123N2_one_0.5,3.199061507,1.583645795,1.15207958
13123N2_one_1.0,2.433499295,1.397509929,1.116666741
13123N2_two_0.5,1.302752107,2.946078524,2.703060165
13123N2_two_1.0,0.468198444,1.615937855,2.07374268
13130N2,5.370555068,2.112842768,1.639552823
13130N2_one_0.5,5.609106526,2.337917816,1.700229108
13130N2_one_1.0,5.052519806,2.33866905,1.742987436
13130N2_two_0.5,7.019643844,3.992857151,2.864230794
13130N2_two_1.0,5.638266893,4.530546316,3.763736871
13140N2,1.383927917,0.59195232,0.425677352
13141N2,2.558121915,0.867730997,0.634544992
13142N2,2.0945956,0.748618528,0.546504604
13150N2,3.559685063,1.329325623,0.992073608
13150N2_one_0.5,2.966768621,1.692466572,1.217619226
13150N2_one_1.0,2.132716849,1.751463735,1.378032624
13150N2_two_0.5,1.121394912,2.766734721,2.871974108
13160N2,6.681897803,2.825557369,2.124267123
13160N2_one_0.5,6.361119464,2.819139036,1.899654632
13160N2_one_1.0,5.546294387,2.712092419,1.781138139
13160N2_two_0.5,4.279589669,5.704449142,4.17333896
13160N2_two_1.0,1.7514984,4.684919542,4.729627991
13161N2,5.962316109,2.57548947,1.916570364
13161N2_one_0.5,6.100106181,2.646214831,1.762417218
13161N2_one_1.0,5.522274148,2.470594493,1.642557386
13161N2_two_0.5,6.076550782,4.527890798,3.078977422
13161N2_two_1.0,3.142435888,5.3308873,4.066060832
13170N2,7.388100013,3.36124149,2.530086476
13170N2_one_0.5,7.860165521,3.477632998,2.398647778
13170N2_one_1.0,7.294402326,3.325546268,2.273680377
13170N2_two_0.5,9.192776724,4.843616981,3.311672844
13170N2_two_1.0,7.704729561,5.80093409,4.107321446
13180N3,0.673390875,0.860081354,0.619334545
13180N3_one_0.5,0.422962067,0.680412513,0.564135299
13180N3_one_1.0,0.216589078,0.430022147,0.43215501
13181N3,0.858578029,0.9080587,0.652848594
13181N3_one_0.5,0.465806484,0.817130526,0.65721476
13181N3_one_1.0,0.187007166,0.706812472,0.52623121
13182N3,0.717379471,0.686828746,0.494902964
13182N3_one_0.5,0.271626433,0.64632049,0.547436449
13182N3_one_1.0,0.150313971,0.389855715,0.43461375
13190N2,1.627165828,0.559547528,0.400590336
13190N2_one_0.5,1.38959527,0.741732388,0.468281974
13190N2_one_1.0,0.882463087,0.799208455,0.535545505
13191N2,3.003809065,1.105349105,0.80629082
13191N2_one_0.5,2.804617192,1.349786234,0.939805508
13191N2_one_1.0,2.381732739,1.389915226,0.984482482
13191N2_two_0.5,1.834067419,2.791038331,2.314479208
13191N2_two_1.0,0.676114794,2.008294354,2.297742166
14000N2,3.10231094,1.109593882,0.792214454
14010N2,3.390348194,1.280495999,0.929914739
14010N2_one_0.5,2.76558827,1.521078948,1.026475111
14010N2_one_1.0,2.009233243,1.538294897,1.096238983
14010N2_two_0.5,0.731320813,2.100082392,2.456147834
14020N2,3.798810882,1.530179091,1.137840541
14020N2_one_0.5,3.11033254,1.590372839,1.127991997
14020N2_one_1.0,2.227856735,1.534242062,1.144494374
14020N2_two_0.5,1.206096796,2.767584608,2.685577881
14020N2_two_1.0,0.350738889,1.277367292,1.612234993
14030N2,5.097822287,2.025883508,1.562983789
14030N2_one_0.5,5.428544527,2.191544133,1.590640216
14030N2_one_1.0,4.936018418,2.209971114,1.6275651
14030N2_two_0.5,6.843284516,3.615715252,2.607100292
14030N2_two_1.0,5.594049707,4.400340792,3.501412176
14031N2,4.998898924,2.045607167,1.513234502
14031N2_one_0.5,5.236624357,2.342032418,1.550300284
14031N2_one_1.0,4.691403023,2.299279375,1.557660733
14031N2_two_0.5,5.190692645,3.54658939,2.510047449
14031N2_two_1.0,2.817773052,4.246259711,3.382560615
14040N2,5.020349675,1.901733967,1.45596753
14040N2_one_0.5,5.098391019,2.074246488,1.560108852
14040N2_one_1.0,4.510127557,1.95388672,1.564642781
14040N2_two_0.5,6.21944587,3.579026292,2.665546014
14040N2_two_1.0,4.487002961,3.970193713,3.158052426
14050N3,6.982804884,2.600986702,1.925273611
14051N3,5.948351227,2.24173656,1.640607581
14060N2,5.474644838,1.906408749,1.439705616
14060N2_one_0.5,5.215197388,2.107237073,1.391859059
14060N2_one_1.0,4.165711413,2.055498447,1.367745112
14060N2_two_0.5,2.336954777,4.473365945,3.758741418
14060N2_two_1.0,0.839418099,2.583876393,3.19328444
14070N2,4.558899548,1.701531604,1.266367621
14070N2_one_0.5,4.499187475,1.883926099,1.345771943
14070N2_one_1.0,3.936001743,1.757443083,1.320277721
14070N2_two_0.5,4.130056973,3.581056659,2.656645584
14070N2_two_1.0,1.940152933,3.672694262,3.202742119
14071N2,4.467635972,1.662877757,1.260004568
14071N2_one_0.5,4.431067327,1.808815603,1.301514633
14071N2_one_1.0,3.871827155,1.701855257,1.318206599
14071N2_two_0.5,4.073449111,3.522639325,2.614368705
14071N2_two_1.0,1.910265762,3.603122869,3.156457996
14072N2,7.885833149,3.125459016,2.355679835
14072N2_one_0.5,7.953791419,3.234698255,2.220843129
14072N2_one_1.0,6.905939112,3.034292861,2.113698738
14072N2_two_0.5,7.522464087,5.519719393,3.811422173
14072N2_two_1.0,3.613435741,6.155250223,4.881669206
14073N2,7.701451176,3.088167595,2.314904734
14073N2_one_0.5,7.750789294,3.247922982,2.257890983
14073N2_one_1.0,6.67651438,3.106488847,2.172691969
14073N2_two_0.5,7.331004723,5.547243111,3.833256594
14073N2_two_1.0,3.633998009,6.111977858,4.896771706
14080N2,5.264568738,2.009819497,1.53730662
14080N2_one_0.5,5.179645175,2.247048128,1.60251701
14080N2_one_1.0,4.318319349,2.339337878,1.646113039
14080N2_two_0.5,5.183134938,4.455270932,3.409280875
14080N2_two_1.0,2.689371748,4.1011015,3.903868028
14090N2,4.022247467,1.546747759,1.139349595
14090N2_one_0.5,3.399951946,1.773955622,1.261086091
14090N2_one_1.0,2.609815328,1.775142624,1.357798523
14090N2_two_0.5,1.7123026,3.272234841,3.13626629
14090N2_two_1.0,0.449386245,1.897867907,2.235865203
14091N2,3.822066971,1.394402162,1.020055661
14091N2_one_0.5,3.357942881,1.711556232,1.181139165
14091N2_one_1.0,2.456258464,1.772811185,1.315498826
14091N2_two_0.5,1.576913652,3.046113487,2.789677872
14091N2_two_1.0,0.503287959,1.692711014,2.132229984
14100N2,3.861999115,1.376579189,1.024542634
14100N2_one_0.5,3.512789791,1.738622116,1.23113178
14100N2_one_1.0,2.470812942,1.858373413,1.408411108
14100N2_two_0.5,1.605311542,3.476854093,2.994620167
14100N2_two_1.0,0.518481472,1.941673104,2.472806202
15000N2,0.007034207,0.397178838,0.213123339
15010N2,4.160007123,1.530394926,1.138538166
15010N2_one_0.5,4.071081346,1.698217724,1.20102838
15010N2_one_1.0,3.541470045,1.594989023,1.21065683
15010N2_two_0.5,3.472422687,3.26769486,2.430971446
15010N2_two_1.0,1.532477187,3.271321994,2.927456163
15020N2,7.96961459,3.397683746,2.560652731
15020N2_one_0.5,7.966604145,3.403273768,2.335114517
15020N2_one_1.0,7.001678667,3.218951374,2.166605013
15020N2_two_0.5,7.698040016,6.213199834,4.303430728
15020N2_two_1.0,3.777640665,6.589283776,5.411945209
15021N2,7.582615374,3.200314446,2.437703753
15021N2_one_0.5,7.83341358,3.242450236,2.2215809
15021N2_one_1.0,7.225059544,3.011753331,2.076760893
15021N2_two_0.5,9.058940907,5.112079939,3.492423471
15021N2_two_1.0,6.135848874,6.229952131,4.431363793
15030N2,3.533131584,1.234004763,0.923309577
15030N2_one_0.5,2.807843258,1.574251466,1.156349919
15030N2_one_1.0,2.056914643,1.322797691,1.174051148
15030N2_two_0.5,0.733836709,2.250334984,2.525842625
15031N2,4.637836543,1.694392944,1.297023283
15031N2_one_0.5,4.263509402,1.896943428,1.373820121
15031N2_one_1.0,3.601165423,1.742188072,1.421229717
15031N2_two_0.5,3.263586676,3.730820019,3.031922759
15031N2_two_1.0,1.080204749,2.913062781,3.093121287
15040N2,2.606361952,1.011519215,0.736099199
15040N2_one_0.5,2.090647517,0.96745385,0.746000071
15040N2_one_1.0,1.235486831,1.001276461,0.802236065
15050N2,2.084319298,0.803941589,0.57103251
15060N2,3.348144214,1.133863083,0.820114858
15060N2_one_0.5,3.127187841,1.262730382,0.863000729
15060N2_one_1.0,2.451348341,1.326641543,0.913037625
15060N2_two_0.5,1.354507333,2.582072753,2.247170676
15061N2,4.073858017,1.399412268,1.046254333
15061N2_one_0.5,4.103199374,1.640456191,1.132451969
15061N2_one_1.0,3.307809452,1.522609001,1.076500239
15061N2_two_0.5,2.306143681,3.280313441,2.554132476
15061N2_two_1.0,1.075158811,2.638082254,2.857287307
15070N2,4.736064431,1.761185438,1.344336503
15070N2_one_0.5,4.52884216,2.048949551,1.477162381
15070N2_one_1.0,3.894721878,1.8299647,1.434752089
15070N2_two_0.5,4.394378308,3.987698333,3.128806007
15070N2_two_1.0,1.963693241,3.583311382,3.406739384
15071N2,4.802278606,1.783000838,1.353646079
15071N2_one_0.5,4.651979644,1.946148222,1.454944158
15071N2_one_1.0,3.924593137,1.821444149,1.441744238
15071N2_two_0.5,4.539545105,3.979723435,3.110769404
15071N2_two_1.0,2.063857962,3.690745363,3.423902058
15072N2,6.688352039,2.875380796,2.153773595
15072N2_one_0.5,6.706157769,2.909334429,1.951106767
15072N2_one_1.0,6.10616502,2.705123106,1.80059629
15072N2_two_0.5,6.580196483,4.985794959,3.385754624
15072N2_two_1.0,3.306993776,5.752319188,4.423043836
15080N2,5.768632132,2.50926759,1.843157408
15080N2_one_0.5,5.719350513,2.60467261,1.70038314
15080N2_one_1.0,5.103910195,2.452953603,1.595959535
15080N2_two_0.5,3.984038589,4.591336908,3.197450971
15080N2_two_1.0,1.924679425,4.489546661,3.996501374
15081N2,6.769356592,2.869503094,2.128420343
15081N2_one_0.5,6.929978901,2.905205745,1.9360772
15081N2_one_1.0,6.140797413,2.70513091,1.805471906
15081N2_two_0.5,6.68757141,5.033343098,3.416484713
15081N2_two_1.0,3.360949311,5.810504737,4.450213215
15090N2,6.709013226,2.862793161,2.123910198
15090N2_one_0.5,6.789412428,2.870116414,1.929554146
15090N2_one_1.0,6.067165773,2.683958942,1.795740822
15090N2_two_0.5,6.633104012,4.981600952,3.385616877
15090N2_two_1.0,3.272090397,5.778560183,4.423263528
15091N2,6.185354899,2.665426815,2.000091462
15091N2_one_0.5,6.263740743,2.740129883,1.804158962
15091N2_one_1.0,5.575098187,2.512141784,1.666710224
15091N2_two_0.5,5.863590892,4.612423382,3.141785912
15091N2_two_1.0,2.94009641,5.324984164,4.131667247
15100N2,5.186666231,1.955431782,1.51402227
15100N2_one_0.5,5.235939849,2.064114982,1.513500261
15100N2_one_1.0,4.568207126,2.067811158,1.596888615
15100N2_two_0.5,6.272527287,3.885554817,2.886734348
15100N2_two_1.0,3.981351257,4.290164729,3.496974658
15101N2,3.018413771,1.104636205,0.825382154
15110N2,4.579259438,1.630711046,1.233144365
15110N2_one_0.5,4.850007493,1.903827544,1.312934113
15110N2_one_1.0,4.452597371,1.93978884,1.415399127
15110N2_two_0.5,4.948360588,3.417858386,2.437781771
15110N2_two_1.0,2.888178993,4.1009874,3.443982574
15111N2,3.273888404,1.292900861,0.973801921
15111N2_one_0.5,3.571890753,1.511096096,1.054581922
15111N2_one_1.0,3.245224613,1.619614458,1.127125446
15111N2_two_0.5,4.068804521,2.34662821,1.680283456
15111N2_two_1.0,3.1249078,2.898765402,2.318965015
15120N2,6.442511539,2.525227288,1.963334922
15120N2_one_0.5,5.592227969,2.694432795,1.968273339
15120N2_one_1.0,4.449736849,2.48501861,1.946147584
15120N2_two_0.5,5.66049653,5.021466515,4.255872739
15120N2_two_1.0,2.263479191,3.988723139,3.782178586
15130N2,4.57999866,1.63373534,1.244197851
15130N2_one_0.5,4.866082202,1.906978135,1.325022743
15130N2_one_1.0,4.474404032,1.819082414,1.378771641
15130N2_two_0.5,4.96638069,3.617478996,2.470118866
15130N2_two_1.0,2.928552004,4.117679289,3.446208437
15131N2,5.33223339,1.987751888,1.526514735
15131N2_one_0.5,5.687106325,2.180725543,1.573338564
15131N2_one_1.0,5.200267281,2.30197167,1.611473808
15131N2_two_0.5,6.624984889,3.681936283,2.571264964
15131N2_two_1.0,5.072982724,4.646365701,3.531558625
15140N2,5.292027345,2.00527654,1.553232863
15140N2_one_0.5,4.761490737,2.266585439,1.69393449
15140N2_one_1.0,3.93729173,2.067714111,1.659309243
15140N2_two_0.5,3.67419321,4.502148483,3.883461324
15140N2_two_1.0,1.232798644,3.143614807,3.285682999
15150N2,5.970842326,2.596450611,1.930413511
15150N2_one_0.5,6.095315843,2.667723304,1.753258694
15150N2_one_1.0,5.589387876,2.4912735,1.653214744
15150N2_two_0.5,5.633054146,4.553920474,3.087812983
15150N2_two_1.0,2.823199674,5.207910957,4.052306715
15160N2,0.841753343,0.289461705,0.204832118
15161N2,2.679921941,0.923158596,0.686322738
15161N2_one_0.5,2.667541892,1.154706398,0.810704188
15161N2_one_1.0,2.30458795,1.190361967,0.89417046
15161N2_two_0.5,2.065762519,2.150910606,1.640869005
15162N2,2.571355544,0.921781816,0.661716817
15162N2_one_0.5,2.079182529,0.944919809,0.748644175
15162N2_one_1.0,1.481816111,0.587375795,0.595466642
15163N2,3.750411864,1.31525074,0.982156995
15163N2_one_0.5,3.10478164,1.575386128,1.227065913
15163N2_one_1.0,2.252305271,1.514818512,1.32966309
15163N2_two_0.5,0.946356302,2.577375644,2.745439107
15170N2,2.236906059,0.810569701,0.580254196
15170N2_one_0.5,1.877087377,1.130913839,0.744575523
15170N2_one_1.0,1.271847202,1.126480922,0.848534911
15171N2,2.970490917,1.002718952,0.736645347
15171N2_one_0.5,2.079439613,1.197085089,0.795384428
15171N2_one_1.0,1.182771452,1.137300577,0.829399781
15180N2,3.763848875,1.357550015,1.032696805
15180N2_one_0.5,3.923567392,1.606425199,1.114044024
15180N2_one_1.0,3.499736286,1.675141252,1.185420199
15180N2_two_0.5,4.118102474,3.110578814,2.152609737
15180N2_two_1.0,2.542838935,3.33686288,2.925126793
15181N2,4.006313497,1.4786517,1.142594507
15181N2_one_0.5,4.274946004,1.707113097,1.197352028
15181N2_one_1.0,3.903891861,1.716314133,1.254464226
15181N2_two_0.5,4.93251992,2.887193033,2.075200517
15181N2_two_1.0,3.720644596,3.460048216,2.83111782
15182N2,3.871446423,1.412480812,1.063611998
15182N2_one_0.5,4.115933279,1.665237654,1.155564615
15182N2_one_1.0,3.627014862,1.740840582,1.220334942
15182N2_two_0.5,4.281705711,3.145627732,2.284517274
15182N2_two_1.0,2.471942054,3.492045562,3.133237466
15183N2,3.784716247,1.355710942,1.033486599
15183N2_one_0.5,3.95677934,1.607204245,1.114341897
15183N2_one_1.0,3.560500703,1.627370517,1.180252012
15183N2_two_0.5,4.238724141,2.965106445,2.132744591
15183N2_two_1.0,2.569402935,3.347705433,2.941047058
15184N2,4.011770146,1.494345447,1.137717512
15184N2_one_0.5,4.295173319,1.679282301,1.204592679
15184N2_one_1.0,3.907585437,1.725230106,1.262843629
15184N2_two_0.5,4.942585789,2.897317459,2.083512006
15184N2_two_1.0,3.739800948,3.466878043,2.828088915
15185N2,3.908549313,1.415830791,1.078200606
15185N2_one_0.5,4.108058491,1.664591535,1.157516771
15185N2_one_1.0,3.725697716,1.646468072,1.231189598
15185N2_two_0.5,4.278188803,3.160786992,2.302054869
15185N2_two_1.0,2.487560812,3.517022688,3.131602315
15186N2,5.582441583,2.214367009,1.720751923
15186N2_one_0.5,5.857252582,2.420366969,1.770247187
15186N2_one_1.0,5.260724065,2.431491704,1.806255926
15186N2_two_0.5,7.218778423,4.112342835,3.056584462
15186N2_two_1.0,5.629842379,4.767796572,4.018200109
15190N2,2.28823764,0.928689283,0.648861445
15200N3,5.076014107,2.01558826,1.461193272
15201N3,15.49162434,6.713572233,5.336671338
15201N3_one_0.5,16.26957887,6.743545387,4.992448819
15201N3_one_1.0,14.61406103,6.365182424,4.66135545
