,name,out1,pre1,out2,pre2,out3,pre3,out4,pre4,out5,pre5,out6,pre6,out7,pre7,out8,pre8,out9,pre9,out10,pre10,out11,pre11,out12,pre12,out13,pre13,out14,pre14,out15,pre15
29,['20350N2'],2.5682914,2.7114978,0.97092235,1.1421192,0.6932557,0.7711278,1.7850024,1.7277651,1.2184666,1.0933077,0.8920848,0.7866297,1.00969,1.225234,1.0874151,0.96474415,0.88614744,0.8210727,0.0,0.20037854,0.0,0.9364848,0.0,0.94644517,0.0,-0.20593917,0.0,0.20650244,0.0,0.2997203
30,['19460N2'],3.2080622,3.7904506,1.1191022,1.3133224,0.8242638,1.0420333,3.059195,2.5898461,1.412451,1.1989448,1.0163575,0.840649,2.431239,1.9980332,1.36625,1.190521,1.0625567,0.9866394,1.1111398,1.0366733,2.7640727,1.3219831,2.5057952,1.2119889,0.0,0.3638122,0.0,0.82932746,0.0,0.87876093
31,['18110N2'],3.0574763,2.7837234,1.1369648,1.1214604,0.8385927,0.7196686,2.3276103,2.0301852,1.5046129,1.111763,1.060679,0.7841133,1.7129867,1.4110227,1.292476,1.0995891,1.0704911,0.9381278,0.0,0.4242977,0.0,1.4559085,0.0,1.3706447,0.0,-0.22268999,0.0,0.28045797,0.0,0.56086624
32,['16110N3'],12.892568,13.822753,5.134249,5.8652987,3.9328234,4.3924108,13.537655,12.931938,5.1554394,5.0701942,3.752024,3.9275804,12.181858,11.247844,4.970146,5.013508,3.5362077,3.6744123,15.878654,12.637012,8.449481,7.9602,5.75585,5.5290046,9.082357,8.040717,9.870906,8.041851,7.2574053,6.4271135
33,['19410N2'],3.9895687,3.463346,1.5291479,1.3145363,1.1579218,1.0429564,3.3256433,3.371233,1.8417821,1.6418595,1.3102466,1.2892147,2.5207937,2.5007787,1.7462419,1.6769719,1.3509951,1.267609,2.1562915,1.8467823,3.0444436,2.5003471,2.8599803,2.2497964,0.69971687,0.539394,1.9330453,1.4848818,2.1786811,1.539665
34,['19215C2'],4.3434043,4.3383093,1.6070212,1.6250752,1.2194022,1.1808133,4.351634,3.5569432,1.8889853,1.5696043,1.3134731,1.0820035,3.6966298,3.0200346,1.9206382,1.5986454,1.3658307,1.1430168,4.318677,3.2958133,3.6941295,2.8127723,2.77556,2.1054904,2.1565154,1.6772593,3.6228373,2.5245662,3.3552613,2.3208237
35,['21182N2'],4.0583167,3.4487293,1.5151055,1.3270522,1.1255538,0.9846779,3.539873,3.2064805,1.8602192,1.5214779,1.2883013,1.1759616,2.7447724,2.5396652,1.8390281,1.5135504,1.3992547,1.2186043,2.0816064,2.1474311,3.436804,2.5560036,3.116759,2.2020702,0.6655797,0.73111355,2.0893161,1.8201039,2.4509819,1.833055
36,['20271C2'],2.1470656,3.1983242,0.79114914,1.1383411,0.55790263,0.85144734,1.2374032,1.3435771,1.2033961,0.7604947,0.83282787,0.50391805,0.8776336,0.8294507,0.9386724,0.7470162,0.9014863,0.7167021,0.0,-0.61327136,0.0,0.1643393,0.0,0.31526697,0.0,-0.70429933,0.0,-0.51140463,0.0,-0.13902318
37,['19003N3'],9.396776,10.028495,3.3693335,3.9436173,2.548419,3.1845114,9.108471,9.069555,3.7088654,4.1084304,2.517865,2.9072838,7.4455605,7.619368,3.7427523,3.8685398,2.5489564,2.8416128,4.036047,4.0998755,7.3090234,4.0728974,5.844504,3.3491101,1.531424,2.11405,4.422239,3.1647482,5.386323,3.049303
38,['15010N2'],4.160007,5.3804994,1.5303949,2.205752,1.1385381,1.6869086,4.071081,4.058054,1.6982177,1.9198588,1.2010283,1.3644397,3.54147,3.2073421,1.5949891,1.8575073,1.2106569,1.3874664,3.4724226,3.0317163,3.267695,3.1186414,2.4309714,2.6088858,1.5324771,1.3784486,3.271322,2.2898583,2.9274561,2.0698657
39,['15190N2'],2.2882376,3.4689112,0.9286893,1.1237396,0.64886147,0.95829374,0.0,-0.7012986,0.0,-0.3054353,0.0,-0.13948286,0.0,-0.5691484,0.0,-0.090785146,0.0,-0.19725025,0.0,-0.39076006,0.0,-0.59337914,0.0,-0.5289551,0.0,-0.17616642,0.0,-0.3871268,0.0,-0.14042175
40,['21050N2'],6.243495,6.7691684,2.3952878,2.674967,1.8072325,2.1289,6.35748,6.272972,2.5888143,2.804778,1.7633979,1.9200003,5.5386786,5.3471665,2.5598676,2.5765545,1.7315838,1.8783848,6.1050606,6.037382,4.7578526,4.544926,3.2952359,3.5280755,3.0510528,3.6617675,5.0676303,4.283623,4.214228,3.6783938
41,['20630N2'],3.9747202,3.8495774,1.5101084,1.422394,1.1226258,1.0308704,3.0305686,3.3498936,1.7552727,1.6917815,1.2875949,1.1381189,2.3264666,2.411609,1.4878145,1.6518658,1.199464,1.2472885,0.9046792,0.39814794,2.3971062,2.0448983,2.6120267,1.8314422,0.0,-0.44636762,0.0,0.5504439,0.0,0.8549826
42,['15000N2'],0.007034207,3.1365309,0.39717883,1.4165983,0.21312334,1.3993723,0.0,-2.5636363,0.0,-1.7509576,0.0,-0.5125629,0.0,-2.3215528,0.0,-2.5240312,0.0,-1.043418,0.0,-3.843359,0.0,-5.529814,0.0,-4.5516653,0.0,-0.87277234,0.0,-3.1637616,0.0,-4.010932
43,['16371N2'],0.4224889,1.8744024,0.07589352,0.8277869,0.049642213,0.5583646,0.0,0.6042752,0.0,0.4682262,0.0,0.519966,0.0,0.29409742,0.0,0.37579536,0.0,0.41252744,0.0,-0.8174418,0.0,0.07228875,0.0,0.22907603,0.0,-0.53375185,0.0,-0.6600913,0.0,-0.43900883
44,['16100N2'],3.5988796,3.3399549,1.2701621,1.3190296,0.94516116,0.92191255,2.9074075,2.8287106,1.5357976,1.3666286,1.1875159,1.0682077,2.053162,2.0475104,1.4232959,1.2999804,1.2067665,1.0783329,0.7636269,0.754426,2.3199074,1.6899301,2.559503,1.6716545,0.0,-0.09224665,0.0,0.7464669,0.0,0.92270166
45,['15031N2'],4.6378365,4.5615854,1.6943929,1.7192525,1.2970233,1.31546,4.2635093,4.0152826,1.8969434,1.8121759,1.3738201,1.3945665,3.6011655,3.2474394,1.7421881,1.804063,1.4212297,1.3366874,3.2635868,3.2828097,3.73082,3.290389,3.0319228,2.6515007,1.0802047,1.5023096,2.9130628,2.5913727,3.0931213,2.4324138
46,['20169N2'],3.0288596,3.8514857,1.0989407,1.4727706,0.82456857,1.0774834,2.8474307,3.680781,1.3176436,1.7530085,0.9357594,1.3357594,2.3322861,2.8206315,1.3133708,1.6762964,1.0120128,1.4031645,1.8302718,1.9098665,2.6873827,2.4877908,2.2132835,2.1919482,0.0,0.5422847,0.0,1.6220082,0.0,1.7136973
47,['16170N2'],3.9313238,3.729413,1.4467664,1.4399403,1.0851705,1.1419547,3.3657985,3.7832005,1.664553,1.8524303,1.1978574,1.3654149,2.5539675,2.8657618,1.5961523,1.865075,1.2476413,1.3820801,1.1102456,2.3586884,2.9179778,3.2708912,2.9047642,2.7616913,0.0,0.7085252,0.0,1.9809369,0.0,2.0295815
48,['19242N3'],0.84969354,2.361453,0.5589235,0.8797274,0.39163163,0.62005913,0.36865908,1.3928852,0.5622639,0.8822033,0.46349373,0.66267014,0.29274017,0.83722055,0.40524483,0.8775225,0.3884499,0.64864254,0.0,-0.46762168,0.0,0.57672215,0.0,0.5061158,0.0,-0.6167606,0.0,-0.2555827,0.0,-0.03006494
49,['13010N2'],3.3618047,3.386169,1.2079624,1.2234595,0.9150339,0.9892807,3.6576078,2.8729994,1.388281,1.4001706,0.9959421,1.062579,3.3394995,2.318329,1.3723123,1.4140952,1.047525,0.99248517,4.028023,2.1547866,2.4320574,2.1073658,1.6749995,1.8652259,2.9015014,1.0968678,2.8800273,1.4436777,2.3354056,1.4162111
50,['21712N2'],2.6198173,1.9965893,0.69570214,0.7636677,0.46759066,0.59494185,0.0,0.051345706,0.0,0.16921198,0.0,0.0678066,0.0,-0.048101664,0.0,0.07260716,0.0,0.010736942,0.0,-0.6621436,0.0,-0.2203294,0.0,-0.16449702,0.0,-0.40260613,0.0,-0.4438163,0.0,-0.37138283
51,['21071N2'],2.6476831,3.0328436,0.9572069,0.99351853,0.69237447,0.7465993,0.0,-0.2746228,0.0,-0.0757705,0.0,0.006836891,0.0,-0.24464142,0.0,0.074056506,0.0,-0.015652657,0.0,-0.87175834,0.0,-0.60829604,0.0,-0.44318616,0.0,-0.66813695,0.0,-0.67370975,0.0,-0.42922556
52,['16040N2'],2.0544074,3.131987,0.89031667,1.2921218,0.6387541,0.8775265,1.4457299,1.1283354,1.0012457,0.68697965,0.6579411,0.47535062,1.0482577,0.7047186,0.9313074,0.6144273,0.6288584,0.612324,0.0,0.23398352,0.0,0.868864,0.0,0.85463345,0.0,-0.31472552,0.0,0.27512014,0.0,0.3526765
53,['19521N2'],4.2088857,3.408319,1.523482,1.2144892,1.143378,0.946215,4.3211417,2.560811,1.7105383,1.1961944,1.1745728,0.88785493,3.7479818,1.9936012,1.7278296,1.1908002,1.1990389,0.8034643,3.9206278,1.9149446,3.3059504,2.027346,2.3945065,1.6738796,2.010541,0.837682,3.3117983,1.5447557,3.0231674,1.484863
54,['21200N2'],4.1823015,3.5575442,1.5655764,1.2590654,1.1834481,0.96306604,3.9475636,3.270399,1.8579453,1.5741822,1.2995934,1.2289357,3.148454,2.597277,1.7336605,1.5704082,1.3335786,1.2371742,2.4155781,2.0128877,3.589976,2.687472,2.9229903,2.309679,0.7397293,0.6525214,2.3574038,1.7648588,2.7641153,1.7871782
55,['21391N2'],6.302795,4.0054097,2.192436,1.3274529,1.6007476,1.0039518,6.063896,2.430039,2.299746,1.039217,1.647948,0.88291603,5.695332,1.8181231,2.3571498,1.1094033,1.6588157,0.8465668,0.0,1.1130116,0.0,1.5065314,0.0,1.2385811,0.0,0.26122653,0.0,1.0845668,0.0,1.0722073
56,['21021N2'],3.2375803,4.481282,1.5412885,1.706212,1.1263889,1.2529588,2.4510777,1.5031878,1.6303817,0.92322105,1.0437185,0.45619607,1.6812118,0.9726338,1.4942741,0.6645944,1.0445586,0.5159998,0.0,-1.2787472,0.0,0.20452416,0.0,0.36601758,0.0,-1.236493,0.0,-0.7396704,0.0,-0.4514817
57,['20420N2'],1.6875709,2.7784085,0.5391794,0.90620714,0.39964867,0.70977473,0.0,-0.24812305,0.0,-0.12850189,0.0,-0.068573475,0.0,-0.11902678,0.0,-0.04095447,0.0,-0.12159884,0.0,0.2342453,0.0,-0.14874518,0.0,-0.1302011,0.0,0.20180476,0.0,0.06470358,0.0,0.12176132
58,['19181N2'],4.1986494,3.9239616,1.538237,1.4091842,1.1363529,1.0821675,3.6493526,3.7357018,1.7848381,1.8488785,1.2513156,1.3109041,2.8354797,3.128512,1.6439433,1.7341588,1.3087498,1.3241439,1.8494478,2.6074972,3.4408398,3.1209354,3.162404,2.7224474,0.68826383,0.991354,1.9970629,2.3203306,2.3249376,2.3565464
59,['20182N2'],3.3540022,3.9818988,1.2483871,1.5297364,0.9334329,1.2318459,2.3310359,2.9506395,1.4498603,1.5068656,1.101181,1.1430945,1.6187894,2.3895936,1.209722,1.5098381,1.0335132,1.0921296,1.6665431,2.0172455,2.8904428,2.2329302,2.3669639,1.7635481,0.6897005,0.91600066,2.1219916,1.4692411,2.3920398,1.5184226
60,['19520N2'],4.444235,4.0936804,1.6271011,1.4636003,1.2307527,1.1436188,4.5342455,3.442524,1.8349769,1.5475091,1.2658782,1.1193621,3.9072592,2.7640862,1.8525062,1.5353842,1.2710916,1.0736074,4.328981,2.939958,3.544292,2.687822,2.623312,2.1676862,2.169013,1.4599257,3.6288505,2.2918177,3.3228884,2.1190362
61,['15110N2'],4.5792594,4.581013,1.6307111,1.4928038,1.2331444,1.2305121,4.8500075,4.263792,1.9038275,1.8329843,1.3129342,1.3484187,4.452597,3.76363,1.9397888,1.782456,1.4153991,1.2272586,4.9483604,4.4479017,3.4178584,3.2627819,2.4377818,2.7490969,2.888179,2.6597648,4.1009874,3.217586,3.4439826,2.8544617
62,['16273N2'],3.8214574,4.7419314,1.458037,1.8554308,1.0936729,1.4622202,3.6868587,4.3326645,1.5698819,2.020055,1.1163439,1.3734514,3.0737655,3.6895947,1.4359481,1.9433063,1.0657892,1.3424108,2.7389548,4.1526327,3.2935367,4.116207,2.69094,3.1924772,1.0922557,2.109347,2.6781797,3.3442497,2.7739403,3.347529
63,['16251N3'],9.82505,7.4273424,3.5537865,3.0216966,2.6792006,2.3788419,9.428515,6.9811554,3.8468466,3.2074742,2.6342688,2.2789805,7.6045976,5.6180673,3.6722,2.9500303,2.5272892,2.2192273,4.4392743,4.3279033,7.4114256,3.9450955,5.6923947,3.2691717,1.6758093,2.2118793,5.011727,3.2110136,5.6717067,2.866414
64,['19280N2'],3.7523,3.2313588,1.3931772,1.1392207,1.0406967,0.8738446,3.4282496,2.3254778,1.5883636,1.0981643,1.1365106,0.87957484,2.7549791,1.7552071,1.493115,1.0469952,1.1528208,0.9174611,2.7338731,1.51144,2.9326713,1.812842,2.3597612,1.6181592,1.0671879,0.58296347,2.4385276,1.2325159,2.472583,1.2481292
65,['19466N2'],4.3093443,2.6719685,1.6081753,0.9711116,1.219928,0.7317754,0.0,0.07150006,0.0,0.05686283,0.0,0.032438397,0.0,-0.12749028,0.0,-0.0075768232,0.0,0.08049059,0.0,-1.1748656,0.0,-0.50045216,0.0,-0.40143883,0.0,-0.6661078,0.0,-0.8752917,0.0,-0.8018042
66,['21480N2'],2.2465723,2.8554683,0.7676733,0.8672962,0.49820083,0.721879,0.0,0.29522514,0.0,0.28652775,0.0,0.23532438,0.0,0.19722962,0.0,0.2598946,0.0,0.22597027,0.0,-0.9326893,0.0,-0.37795603,0.0,-0.45115936,0.0,-0.68677723,0.0,-0.4069637,0.0,-0.2746576
67,['20168N2'],2.433568,3.2921748,0.89084166,1.2007496,0.675367,0.91783744,2.5770376,2.863893,1.0275625,1.3280826,0.70601887,1.075918,2.4432335,2.1543615,0.8776832,1.3141289,0.6026118,1.1259623,2.529494,1.2328496,2.1802454,1.7510543,1.6082441,1.5209409,1.0287968,0.3592944,2.2931263,1.0617442,2.1812763,1.0882246
68,['19440N2'],0.43140495,2.426692,0.42099717,1.0738602,0.2889394,0.6564369,0.0,-0.13360846,0.0,-6.401539e-05,0.0,-0.03446412,0.0,-0.09612739,0.0,-0.059430122,0.0,0.046613097,0.0,-0.16450155,0.0,-0.086289644,0.0,-0.019028783,0.0,-0.063428044,0.0,-0.1485399,0.0,-0.2533387
69,['20402N2'],4.7683263,5.6571755,2.0929317,2.229994,1.5199072,1.6677434,4.2995334,3.4146938,2.4351392,1.5818542,1.5923833,1.0771341,3.6252577,2.7188005,2.3055024,1.4607921,1.5857266,1.0741029,2.8233507,2.0224292,3.8717997,1.9274713,3.0157027,1.6363034,1.1410354,1.0444379,3.2648876,1.481699,3.242535,1.2862513
70,['17154N2'],2.9485219,2.9821577,1.090058,1.103427,0.82359046,0.8648315,2.9882212,2.121285,1.1367034,0.99339527,0.8326063,0.7180548,2.55881,1.6047094,1.1676893,0.9797728,0.8829505,0.6615709,2.8473322,1.6882477,2.4255478,1.6091827,1.8284898,1.2904432,1.309749,0.8641825,2.4365687,1.2491951,2.2090068,1.084193
71,['19550N2'],3.4114473,3.2964706,1.2569592,1.3240688,0.94573194,0.98665804,3.308785,3.3028126,1.5461795,1.7616327,1.0718018,1.2389367,2.9277737,2.561452,1.3726869,1.6249969,1.071451,1.225709,1.9698907,1.794424,3.0148983,2.2965162,2.4212487,1.9327407,0.8189079,0.7299255,2.409095,1.4224911,2.6003773,1.4703217
72,['17160N3'],13.039248,7.212656,5.3101373,2.9433494,4.187305,2.2876348,13.243521,6.8696127,5.366006,3.2032366,3.8770602,2.2048643,11.624297,5.6827745,5.114758,2.9858837,3.6564631,2.1047833,15.674058,4.887343,9.147988,4.453925,6.322083,3.584394,8.136608,2.5195484,10.46281,3.6906261,8.030823,3.343049
73,['13070N2'],3.1192477,2.703186,1.1282061,0.9538491,0.8395629,0.71803844,0.0,0.22536588,0.0,0.06859088,0.0,0.16577649,0.0,-0.005441189,0.0,0.17179179,0.0,0.13197482,0.0,-0.9843937,0.0,-0.23006189,0.0,-0.1258446,0.0,-0.6984967,0.0,-0.63942254,0.0,-0.5392829
74,['21271N3'],2.4335244,2.9765973,1.0197747,1.1087524,0.72741556,0.7707691,1.4245732,2.3315167,1.1191385,1.3004324,0.770928,0.9848535,0.8596374,1.6341602,0.9223503,1.2918923,0.74241245,0.98744434,0.0,0.14039087,0.0,1.0228288,0.0,0.9681642,0.0,-0.33710086,0.0,0.18076432,0.0,0.42399406
75,['15201N3'],15.491624,12.051181,6.713572,5.241574,5.3366714,4.1836677,16.269579,13.404022,6.7435455,5.6168613,4.992449,3.9000025,14.614061,12.178219,6.3651824,5.17369,4.6613555,3.8501105,20.956085,16.812796,9.444515,8.616277,6.640349,5.9774494,17.358158,12.414808,11.283174,9.864195,7.998769,7.447856
76,['20580N3'],3.4192476,3.1159143,1.2523482,1.1843803,0.9423223,0.83414245,2.9134798,2.7433958,1.4692403,1.3197744,1.0704032,0.88535947,2.183013,2.0298116,1.2367005,1.2455654,1.014294,0.9827792,1.9318024,1.3675091,2.67285,1.8876354,2.3513799,1.5919878,0.7064239,0.4348346,1.9653612,1.0870807,2.0854013,1.1225953
